impr,lang,query,blog,blog_pos,tour,tour_pos
119,en,tbilisi to mtskheta,/en/blog/mtskheta-day-trip/,12.9,/en/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,55.1
117,ge,ბორჯომი საბაგირო,/ge/blog/borjomi-complete-guide/#bakuriani,4.9,/ge/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,11
117,en,narikala fortress entrance fee,/en/blog/tbilisi-cable-car/,4,/en/ekskursiya/ekskursiya-narikala/,29.7
115,en,כן,/en/blog/best-restaurants-tbilisi/,1,/en/ekskursiya/ekskursiya-ananuri-iz-tbilisi/,2
115,en,kakheti wine region,/en/blog/kakheti-complete-guide/,1.5,/en/ekskursiya/degustatsiya-vina-kakheti/,23
113,ru,сколько ехать из тбилиси в кахетию,/blog/kakheti-za-1-den/,9.1,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,10
112,ge,abanotubani,/ge/blog/sulfur-baths-tbilisi/,1,/en/ekskursiya/ekskursiya-abanotubani/,15.9
110,en,private driver tbilisi to kazbegi,/en/blog/transfer-tbilisi-to-kazbegi/,6.8,/en/ekskursiya/kazbegi-transfer-from-tbilisi/,17.4
108,en,georgia country,/en/blog/tbilisi-techno-scene/,1,/en/ekskursiya/svadebny-tur-gruziya/,2
105,ru,мартвильский каньон цена,/blog/kanyon-martvili/,10.3,/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,57
105,ge,თბილისი ყაზბეგი ტრანსპორტი,/ge/blog/transfer-tbilisi-to-kazbegi/,2.4,/ge/ekskursiya/transfer-aeroport-tbilisi/,32
101,ge,რა ვნახოთ კახეთში,/ge/blog/kakheti-complete-guide/,5.8,/ge/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,8.7
100,en,tbilisi kakheti,/en/blog/kakheti-one-day-trip/,5.1,/en/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,10
100,en,day trip to kazbegi from tbilisi,/en/blog/kazbegi-day-trip-from-tbilisi/,7.5,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,94
97,en,kakheti tour,/en/blog/what-to-buy-in-georgia/,4,/en/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,7.5
96,en,kazbegi to kakheti distance,/en/blog/kazbegi-day-trip-from-tbilisi/,4.6,/en/ekskursiya/tur-kazbegi-kakheti-2-dnya/,10.7
96,en,kakheti to kazbegi,/en/blog/kazbegi-vs-kakheti/,8.5,/en/ekskursiya/tur-kazbegi-kakheti-2-dnya/,16.2
92,en,how to get to narikala fortress,/en/blog/tbilisi-cable-car/,2.5,/en/ekskursiya/ekskursiya-narikala/,60
91,en,soviet architecture in tbilisi,/en/blog/soviet-tbilisi-tour/#self-guided,8.5,/en/ekskursiya/sovetskiy-tur-tbilisi/,25.4
90,en,თბილისში,/en/blog/tbilisi-metro-guide/,2,/en/ekskursiya/khachapuri-master-klass/,3
89,ru,جورجيا,/blog/digital-nomad-tbilisi/,1,/en/ekskursiya/tur-gruziya-noviy-god/,9
89,ru,мцхета что посмотреть,/blog/mtskheta-iz-tbilisi/,22.4,/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,40.6
88,en,from tbilisi to kakheti,/en/blog/kakheti-one-day-trip/,5.6,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,100
87,ge,აბანოთუბანი ფასი,/ge/blog/sulfur-baths-tbilisi/,4.7,/ge/ekskursiya/ekskursiya-abanotubani/,7
87,en,казбеги,/en/blog/kazbegi-day-trip-from-tbilisi/,1,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,11.3
87,en,ananuri fortress,/en/blog/what-to-buy-in-georgia/,2.5,/en/ekskursiya/ekskursiya-ananuri-iz-tbilisi/,4.9
86,ru,грузия уреки магнитные пески,/blog/ureki-plyazh/,9.0,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,15
84,en,kazbegi day tour from tbilisi,/en/blog/kazbegi-day-trip-from-tbilisi/,8.7,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,84
82,ru,экскурсия в казбеги из тбилиси,/blog/kazbegi-iz-tbilisi-2026/,21.4,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,29.3
82,en,soviet tbilisi,/en/blog/soviet-tbilisi-tour/,9.4,/en/ekskursiya/sovetskiy-tur-tbilisi/,63
81,ge,ბორჯომის საბაგიროს ფასი,/ge/blog/borjomi-complete-guide/,6.5,/ge/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,8
79,en,soviet mosaics in tbilisi,/en/blog/soviet-tbilisi-tour/#photography,4,/en/ekskursiya/sovetskiy-tur-tbilisi/,34.2
77,en,tbilisi soviet buildings,/en/blog/soviet-tbilisi-tour/#self-guided,7.9,/en/ekskursiya/sovetskiy-tur-tbilisi/,9
77,en,martvili canyon boat ride,/en/blog/martvili-canyon/,8.7,/en/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,12
76,en,tbilisi to kazbegi tour,/en/blog/kazbegi-day-trip-from-tbilisi/#best-time,6.6,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,95
76,en,narikala fortress tbilisi georgia,/en/blog/narikala-fortress-tbilisi/,10.2,/en/ekskursiya/ekskursiya-narikala/,67.8
72,ge,ურეკის ქვიშა,/ge/blog/ureki-beach/,7.1,/ge/ekskursiya/ekskursiya-ureki-iz-tbilisi/,7.5
72,en,kazbegi tours from tbilisi,/en/blog/kazbegi-day-trip-from-tbilisi/#how,8.9,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,80
71,en,ureki black sand beach,/en/blog/ureki-beach/,5.7,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,8
70,ge,ურეკის პლიაჟი,/ge/blog/ureki-beach/,5.5,/ge/ekskursiya/ekskursiya-ureki-iz-tbilisi/,7
70,en,tbilisi narikala fortress,/en/blog/narikala-fortress-tbilisi/,10.7,/en/ekskursiya/ekskursiya-narikala/,58.6
67,en,kakheti wine region tour,/en/blog/kakheti-wine-tour/,35.5,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,87.0
66,en,batumi georgia,/en/blog/tbilisi-batumi-train/,3,/ekskursiya/tur-batumi-iz-tbilisi/,8
65,en,კი,/en/blog/friday-in-tbilisi/,1,/en/ekskursiya/tur-po-hramam-tbilisi/,2
65,en,kakheti region wineries,/en/blog/kakheti-complete-guide/,16.4,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,29
64,en,davit gareja monastery,/en/blog/david-gareja-monastery/#border,9.6,/en/ekskursiya/ekskursiya-david-gareji/,14.8
62,ru,грузия магнитные пески,/blog/ureki-plyazh/,10,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,12
62,en,what to do in tbilisi at night,/en/blog/tbilisi-nightlife/#bassiani,11,/en/ekskursiya/nochnaya-ekskursiya-tbilisi/,83.5
62,en,soviet buildings in tbilisi,/en/blog/soviet-tbilisi-tour/#photography,9,/en/ekskursiya/sovetskiy-tur-tbilisi/,19.2
61,ru,магнитные пески в уреки,/blog/ureki-plyazh/#deti,9.4,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,40
61,en,narikala fortress georgia,/en/blog/narikala-fortress-tbilisi/,11.1,/en/ekskursiya/ekskursiya-narikala/,79.1
60,ru,грузия цены,/blog/skolko-stoit-otdyh-v-gruzii/,24.3,/prices/,63.2
59,ru,тур по грузии на 7 дней,/blog/gruziya-7-dney/,40.8,/ekskursiya/tur-gruziya-7-dney/,55.9
59,en,тбилиси казбеги,/en/blog/transfer-tbilisi-to-kazbegi/,4,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,19
58,ru,тбилиси вардзия расстояние,/blog/vardzia/,9.3,/ekskursiya/ekskursiya-vardzia/,48
58,en,truso gorge,/en/blog/gorges-of-georgia/,10,/en/ekskursiya/ekskursiya-truso/,11.9
56,en,tbilisi narikala,/en/blog/narikala-fortress-tbilisi/,10.1,/en/ekskursiya/ekskursiya-narikala/,53.9
55,ru,сколько стоит экскурсия из тбилиси в кахетию,/blog/kakheti-za-1-den/#route,11,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,33.4
55,ru,крепость нарекала,/blog/narikala-tbilisi/,15.2,/ekskursiya/ekskursiya-narikala/,17
55,ge,ურეკი მაგნიტური ქვიშა,/ge/blog/ureki-beach/,7,/ge/ekskursiya/ekskursiya-ureki-iz-tbilisi/,9.4
54,ru,серные бани тбилиси цены,/blog/sernye-bani-tbilisi/,9.1,/ekskursiya/ekskursiya-abanotubani/,29.5
